active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
TRUE,12/4/2017,31,-1,GOLDEN STATE WARRIORS,AWAY,NOP,WIN,2067,9,19,5,11,8,9,2,3,11,1,0,2,5,27.9
TRUE,12/30/2017,38,21,GOLDEN STATE WARRIORS,HOME,MEM,WIN,1536,13,17,10,13,2,2,0,4,3,0,0,0,2,33.8
TRUE,1/3/2018,32,7,GOLDEN STATE WARRIORS,AWAY,DAL,WIN,2069,11,19,6,13,4,5,0,5,8,1,0,3,1,27.4
TRUE,1/4/2018,29,3,GOLDEN STATE WARRIORS,AWAY,HOU,WIN,2211,10,20,4,10,5,6,0,9,5,1,0,3,3,21.6
TRUE,1/6/2018,45,28,GOLDEN STATE WARRIORS,AWAY,LAC,WIN,1791,11,21,8,16,15,16,2,4,3,3,0,2,2,39.2
TRUE,1/8/2018,32,3,GOLDEN STATE WARRIORS,HOME,DEN,WIN,2090,9,17,5,10,9,10,1,3,9,2,0,6,3,26
TRUE,1/13/2018,24,-5,GOLDEN STATE WARRIORS,AWAY,TOR,WIN,2068,6,12,2,7,10,12,0,6,9,1,0,1,3,24.1
TRUE,1/15/2018,23,13,GOLDEN STATE WARRIORS,AWAY,CLE,WIN,2004,8,15,4,8,3,4,1,3,8,2,0,3,3,20.3
TRUE,1/17/2018,30,21,GOLDEN STATE WARRIORS,AWAY,CHI,WIN,2095,10,18,6,11,4,4,0,9,4,1,0,6,2,21.1
TRUE,1/20/2018,19,-11,GOLDEN STATE WARRIORS,AWAY,HOU,LOSS,2171,6,20,5,15,2,4,0,1,8,2,0,6,2,7.7
TRUE,1/23/2018,32,4,GOLDEN STATE WARRIORS,HOME,NYK,WIN,1996,9,19,8,15,6,6,0,6,7,0,0,1,2,27.2
TRUE,1/25/2018,25,20,GOLDEN STATE WARRIORS,HOME,MIN,WIN,2246,9,14,5,9,2,3,2,3,9,3,0,2,2,27.2
TRUE,1/27/2018,49,6,GOLDEN STATE WARRIORS,HOME,BOS,WIN,2208,16,24,8,13,9,10,0,4,5,2,0,1,2,43.1
TRUE,1/30/2018,14,-17,GOLDEN STATE WARRIORS,AWAY,UTA,LOSS,1778,4,13,1,7,5,5,1,1,5,0,0,3,1,7.6
TRUE,2/2/2018,23,14,GOLDEN STATE WARRIORS,AWAY,SAC,WIN,2135,7,17,3,10,6,6,1,4,6,2,0,6,3,14.8
TRUE,2/3/2018,24,4,GOLDEN STATE WARRIORS,AWAY,DEN,LOSS,2137,8,16,5,12,3,4,1,5,4,2,0,5,2,16.8
TRUE,2/6/2018,21,-12,GOLDEN STATE WARRIORS,HOME,OKC,LOSS,1909,6,14,2,9,7,7,1,4,5,1,1,3,3,16.5
TRUE,2/8/2018,20,3,GOLDEN STATE WARRIORS,HOME,DAL,WIN,1781,7,12,4,9,2,2,2,5,8,0,0,4,1,18.5
TRUE,2/10/2018,17,6,GOLDEN STATE WARRIORS,HOME,SAS,WIN,1732,7,13,3,7,0,0,1,3,8,2,0,2,0,17.9
TRUE,2/12/2018,22,21,GOLDEN STATE WARRIORS,HOME,PHO,WIN,1793,8,17,3,9,3,3,2,7,7,0,1,3,3,18.2
TRUE,2/14/2018,17,-7,GOLDEN STATE WARRIORS,AWAY,POR,LOSS,2066,6,17,3,10,2,2,2,2,6,3,0,7,4,8.1
TRUE,2/22/2018,44,8,GOLDEN STATE WARRIORS,HOME,LAC,WIN,2228,14,19,8,11,8,8,1,5,10,2,0,4,4,41.9
TRUE,2/24/2018,21,24,GOLDEN STATE WARRIORS,HOME,OKC,WIN,1789,8,19,5,12,0,0,1,8,6,3,0,2,2,18.4
TRUE,2/26/2018,21,25,GOLDEN STATE WARRIORS,AWAY,NYK,WIN,1817,8,16,4,9,1,1,0,5,5,0,0,3,1,14.6
TRUE,2/28/2018,25,20,GOLDEN STATE WARRIORS,AWAY,WSH,WIN,2107,5,15,4,9,11,12,0,5,3,2,0,6,3,14.5
TRUE,3/2/2018,28,2,GOLDEN STATE WARRIORS,AWAY,ATL,WIN,1409,8,15,4,9,8,8,0,1,3,2,0,0,0,25.1
TRUE,3/6/2018,34,11,GOLDEN STATE WARRIORS,HOME,BKN,WIN,2036,12,20,6,12,4,5,1,5,4,3,1,3,2,29.3
TRUE,3/8/2018,2,-1,GOLDEN STATE WARRIORS,HOME,SAS,WIN,143,0,1,0,0,2,2,0,0,0,0,0,0,0,1.3
TRUE,3/23/2018,29,9,GOLDEN STATE WARRIORS,HOME,ATL,WIN,1522,10,18,3,8,6,6,1,6,1,0,1,1,1,22.9
TRUE,10/16/2018,32,15,GOLDEN STATE WARRIORS,HOME,OKC,WIN,2197,11,20,5,9,5,5,0,8,9,1,0,3,4,27.5
TRUE,10/19/2018,31,-3,GOLDEN STATE WARRIORS,AWAY,UTA,WIN,2227,13,24,5,9,0,1,1,3,8,2,0,4,2,23.4
TRUE,10/21/2018,30,3,GOLDEN STATE WARRIORS,AWAY,DEN,LOSS,2353,10,23,6,16,4,4,0,4,6,0,0,2,4,19.7
TRUE,10/22/2018,29,18,GOLDEN STATE WARRIORS,HOME,PHO,WIN,1780,11,18,6,13,1,2,0,4,8,2,0,3,0,26.2
TRUE,10/24/2018,51,19,GOLDEN STATE WARRIORS,HOME,WSH,WIN,1895,15,24,11,16,10,10,0,4,3,0,1,2,1,41.8
TRUE,10/26/2018,29,3,GOLDEN STATE WARRIORS,AWAY,NYK,WIN,2004,10,18,6,11,3,3,1,3,2,1,0,3,2,20.6
TRUE,10/28/2018,35,11,GOLDEN STATE WARRIORS,AWAY,BKN,WIN,2176,11,26,7,15,6,7,1,6,3,1,0,2,1,24
TRUE,10/29/2018,23,27,GOLDEN STATE WARRIORS,AWAY,CHI,WIN,1490,7,9,2,4,7,7,0,8,5,2,0,1,3,25.2
TRUE,10/31/2018,37,19,GOLDEN STATE WARRIORS,HOME,NOP,WIN,2213,12,20,7,11,6,7,0,2,9,2,0,5,3,30.1
TRUE,11/2/2018,28,6,GOLDEN STATE WARRIORS,HOME,MIN,WIN,2128,11,24,4,12,2,2,1,8,7,0,2,4,3,19.8
TRUE,11/5/2018,19,26,GOLDEN STATE WARRIORS,HOME,MEM,WIN,1924,6,17,3,6,4,4,2,3,7,1,1,5,1,13
TRUE,11/8/2018,10,-24,GOLDEN STATE WARRIORS,HOME,MIL,LOSS,1566,5,14,0,4,0,0,0,1,6,0,0,2,4,3.1
TRUE,12/1/2018,27,-8,GOLDEN STATE WARRIORS,AWAY,DET,LOSS,2190,10,21,3,9,4,4,0,5,3,2,0,7,4,13.3
TRUE,12/3/2018,30,22,GOLDEN STATE WARRIORS,AWAY,ATL,WIN,1746,10,17,6,10,4,4,0,3,2,1,1,3,4,21.5
TRUE,12/5/2018,42,22,GOLDEN STATE WARRIORS,AWAY,CLE,WIN,2027,11,20,9,14,11,12,0,9,7,1,0,2,1,38.2
TRUE,12/7/2018,20,9,GOLDEN STATE WARRIORS,AWAY,MIL,WIN,2137,7,17,4,9,2,2,0,4,8,1,0,3,3,14.5
TRUE,12/10/2018,38,9,GOLDEN STATE WARRIORS,HOME,MIN,WIN,2145,12,23,7,14,7,7,1,6,6,2,1,2,1,33.7
TRUE,12/12/2018,10,-16,GOLDEN STATE WARRIORS,HOME,TOR,LOSS,1952,3,12,2,8,2,2,1,2,3,1,0,4,1,2.8
TRUE,12/14/2018,35,18,GOLDEN STATE WARRIORS,AWAY,SAC,WIN,2160,11,23,5,14,8,8,1,6,6,3,0,1,2,31.2
TRUE,12/17/2018,20,19,GOLDEN STATE WARRIORS,HOME,MEM,WIN,2102,6,16,3,9,5,5,0,7,1,2,0,3,3,11.8
TRUE,12/19/2018,32,-6,GOLDEN STATE WARRIORS,AWAY,UTA,LOSS,2220,12,21,5,9,3,3,1,2,3,3,1,4,4,23.6
TRUE,12/22/2018,22,-3,GOLDEN STATE WARRIORS,HOME,DAL,WIN,2369,7,22,6,17,2,3,2,3,5,2,0,3,5,11.8
